Name,SMILE,InChiKey,Found in DrugBank,Other InChiKey,Unnamed: 5,Ori,DrugBank,DrugBank uniprot,DrugBank entrez,Integrated uniprotID,Integrated,Integrated entrez
5-FU,O=c1[nH]cc(F)c(=O)[nH]1,GHASVSINZRGABV-UHFFFAOYSA-N,have,,,,"['TYMS', 'CYP2C9']","['P04818', 'P11712']","['7298', '1559']",,,
ABT-888,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,JNAHVYVRKWKWKQ-CYBMUJFWSA-N,have,"JNAHVYVRKWKWKQ-UHFFFAOYSA-N, DSBSVDCHFMEYBX-FFXKMJQXSA-N, JNAHVYVRKWKWKQ-ZDUSSCGKSA-N",,"PARP1, PARP2","['PARP1', 'PARP2']","['P09874', 'Q9UGN5']","['142', '10038']","['P09874', 'Q9UGN5']","['PARP1', 'PARP2']","['142', '10038']"
AZD1775,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,BKWJAKQVGHWELA-UHFFFAOYSA-N,no,,,WEE1,['WEE1'],['P30291'],['7465'],"['P55263', 'Q9Y6R4', 'P30291']","['ADK', 'MAP3K4', 'WEE1']","['132', '4216', '7465']"
BEZ-235,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,JOGKUKXHTYWRGZ-UHFFFAOYSA-N,no,,,"PIK3CA,MTOR",,,,"['P42336', 'P48736', 'O00329', 'P42345', 'Q13315', 'O00443', 'O00750', 'Q9HAZ1']","['PIK3CA', 'PIK3CG', 'PIK3CD', 'MTOR', 'ATM', 'PIK3C2A', 'PIK3C2B', 'CLK4']","['5290', '5294', '5293', '2475', '472', '5286', '5287', '57396']"
BORTEZOMIB,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N,have,GXJABQQUPOEUTA-UHFFFAOYSA-N,,,"['PSMB5', 'PSMB1', 'CYP3A4', 'CYP2C19', 'CYP1A2', 'CYP2C9']","['P28074', 'P20618', 'P08684', 'P33261', 'P05177', 'P11712']","['5693', '5689', '1576', '1557', '1544', '1559']","['P28062', 'P28074', 'P28063']","['PSMB8', 'PSMB5', 'Psmb8']","['5696', '5693', '16913']"
CARBOPLATIN,N.N.O=C(O)C1(C(=O)O)CCC1.[Pt],OLESAACUTLOWQZ-UHFFFAOYSA-L,have,DVQHYTBCTGYNNN-UHFFFAOYSA-N,,,['XDH'],['P47989'],['7498'],,,
CYCLOPHOSPHAMIDE,O=P1(N(CCCl)CCCl)NCCCO1,CMSMOCZEIVJLDB-UHFFFAOYSA-N,have,,,,"['NR1I2', 'CYP3A4', 'CYP2B6', 'CYP2C8']","['O75469', 'P08684', 'P20813', 'P10632']","['8856', '1576', '1555', '1558']",,,
DASATINIB,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,have,,,,"['ABL1', 'SRC', 'EPHA2', 'LCK', 'YES1', 'KIT', 'PDGFRB', 'STAT5B', 'ABL2', 'FYN', 'BTK', 'NR4A3', 'BCR', 'CSK', 'EPHA5', 'EPHB4', 'FGR', 'FRK', 'HSPA8', 'LYN', 'ZAK', 'MAPK14', 'PPAT', 'CYP3A4', 'ABCB1', 'ABCG2']","['P00519', 'P12931', 'P29317', 'P06239', 'P07947', 'P10721', 'P09619', 'P51692', 'P42684', 'P06241', 'Q06187', 'Q92570', 'P11274', 'P41240', 'P54756', 'P54760', 'P09769', 'P42685', 'P11142', 'P07948', 'Q9NYL2', 'Q16539', 'Q06203', 'P08684', 'P08183', 'Q9UNQ0']","['25', '6714', '1969', '3932', '7525', '3815', '5159', '6777', '27', '2534', '695', '8013', '613', '1445', '2044', '2050', '2268', '2444', '3312', '4067', '51776', '1432', '5471', '1576', '5243', '9429']","['P06239', 'P12931', 'P06241', 'P10721', 'P09619', 'P00519', 'Q06187', 'P29317', 'P00523', 'P07333', 'P16277', 'P29323', 'P16234', 'O43353', 'P42681', 'Q13882', 'P00519', 'Q01538', 'Q16832', 'Q08345', 'P07947', 'P10721', 'P08631', 'P29320', 'O15197', 'Q07912', 'P54762', 'P54756', 'P00519', 'P29322', 'P51451', 'Q9Y2K2', 'Q92570', 'P42684', 'Q13163', 'P41240', 'P00519', 'P07948', 'P00533', 'Q9NYL2', 'P54760', 'P42685', 'P54753', 'P68370', 'P11274', 'Q9NWQ8', 'P48729', 'P19623', 'P06240']","['LCK', 'SRC', 'FYN', 'KIT', 'PDGFRB', 'ABL1', 'BTK', 'EPHA2', 'SRC', 'CSF1R', 'Blk', 'EPHB2', 'PDGFRA', 'RIPK2', 'TXK', 'PTK6', 'MYT1', 'DDR2', 'DDR1', 'YES1', 'HCK', 'EPHA3', 'EPHB6', 'TNK2', 'EPHB1', 'EPHA5', 'EPHA8', 'BLK', 'SIK3', 'NR4A3', 'ABL2', 'MAP2K5', 'CSK', 'LYN', 'EGFR', 'MAP3K20', 'EPHB4', 'FRK', 'EPHB3', 'Tuba1a', 'BCR', 'PAG1', 'CSNK1A1', 'SRM', 'Lck']","['3932', '6714', '2534', '3815', '5159', '25', '695', '1969', '396442', '1436', '12143', '2048', '5156', '8767', '7294', '5753', '4661', '4921', '780', '7525', '3055', '2042', '2051', '10188', '2047', '2044', '2046', '640', '23387', '8013', '27', '5607', '1445', '4067', '1956', '51776', '2050', '2444', '2049', '64158', '613', '55824', '1452', '6723', '16818']"
DEXAMETHASONE,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,UREBDLICKHMUKA-CXSFZGCWSA-N,have,UREBDLICKHMUKA-UHFFFAOYSA-N,,NR3C1,"['NR3C1', 'NR0B1', 'ANXA1', 'NOS2', 'NR1I2', 'CYP3A4', 'CYP3A5', 'CYP3A7', 'CYP11A1', 'CYP17A1', 'CYP19A1', 'CYP1A1', 'CYP1B1', 'CYP2A6', 'CYP2B6', 'CYP2C19', 'CYP2C8', 'CYP2D6', 'CYP2E1', 'CYP3A43', 'CYP4A11', 'ABCB11', 'ABCB1', 'ABCC2', 'ABCG2', 'SLCO1A2']","['P04150', 'P51843', 'P04083', 'P35228', 'O75469', 'P08684', 'P20815', 'P24462', 'P05108', 'P05093', 'P11511', 'P04798', 'Q16678', 'P11509', 'P20813', 'P33261', 'P10632', 'P10635', 'P05181', 'Q9HB55', 'Q02928', 'O95342', 'P08183', 'Q92887', 'Q9UNQ0', 'P46721']","['2908', '190', '301', '4843', '8856', '1576', '1577', '100861540', '1551', '1583', '1586', '1588', '1543', '1545', '1548', '1555', '1557', '1558', '1565', '1571', '64816', '1579', '8647', '5243', '1244', '9429', '6579']","['P04150', 'P06536', 'P08235']","['NR3C1', 'Nr3c1', 'NR3C2']","['2908', '24413', '4306']"
DINACICLIB,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12,PIMQWRZWLQKKBJ-SFHVURJKSA-N,no,PIMQWRZWLQKKBJ-UHFFFAOYSA-N,"1018, 1019","CDK1,CDK2, CDK3, CDK4, CDK5,CDK6",,,,"['P06493', 'Q00535', 'P50750', 'Q00613', 'P24941', 'P51825', 'Q9UHB7', 'Q86YS7', 'Q8TDN4', 'P24864', 'O75909', 'O60563', 'O60583', 'Q9NYV4', 'Q14004', 'Q00534', 'P50613', 'Q8N1B3', 'O43427', 'Q12767', 'Q9P289', 'Q00535', 'P50613', 'P50750']","['CDK1', 'CDK5', 'CDK9', 'HSF1', 'CDK2', 'AFF1', 'AFF4', 'C2CD5', 'CABLES1', 'CCNE1', 'CCNK', 'CCNT1', 'CCNT2', 'CDK12', 'CDK13', 'CDK6', 'CDK7', 'CCNQ', 'FIBP', 'TMEM94', 'STK26']","['983', '1020', '1025', '3297', '1017', '4299', '27125', '9847', '91768', '898', '8812', '904', '905', '51755', '8621', '1021', '1022', '92002', '9158', '9772', '51765']"
DOXORUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,AOJJSUZBOXZQNB-TZSSRYMLSA-N,have,AOJJSUZBOXZQNB-UHFFFAOYSA-N,7155,"TOP2A, TOP2B","['TOP2A', 'NOLC1', 'CYP3A4', 'CYP2B6', 'CYP1B1', 'ABCB1', 'ABCC1', 'ABCC3', 'ABCC6', 'ABCC10']","['P11388', 'Q14978', 'P08684', 'P20813', 'Q16678', 'P08183', 'P33527', 'O15438', 'O95255', 'Q5T3U5']","['7153', '9221', '1576', '1555', '1545', '5243', '4363', '8714', '368', '89845']",['O14965'],['AURKA'],['6790']
ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,have,,,EGFR,"['EGFR', 'NR1I2', 'CYP3A4', 'CYP2C8', 'UGT1A1', 'ABCG2', 'SLCO2B1']","['P00533', 'O75469', 'P08684', 'P10632', 'P22309', 'Q9UNQ0', 'O94956']","['1956', '8856', '1576', '1558', '54658', '9429', '11309']","['P00533', 'O94804', 'Q56UN5', 'Q13163', 'P00519', 'O14976', 'P00533']","['EGFR', 'STK10', 'MAP3K19', 'MAP2K5', 'ABL1', 'GAK']","['1956', '6793', '80122', '5607', '25', '2580']"
ETOPOSIDE,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,VJJPUSNTGOMMGY-MRVIYFEKSA-N,have,VJJPUSNTGOMMGY-UHFFFAOYSA-N,,"TOP2A, TOP2B","['TOP2A', 'TOP2B', 'CYP3A4', 'CYP2C8', 'CYP3A5', 'ABCC3', 'ABCC6', 'ABCB1', 'ABCC1', 'ABCC10', 'ABCC2']","['P11388', 'Q02880', 'P08684', 'P10632', 'P20815', 'O15438', 'O95255', 'P08183', 'P33527', 'Q5T3U5', 'Q92887', '']","['7153', '7155', '1576', '1558', '1577', '8714', '368', '5243', '4363', '89845', '1244']",,,
GELDANAMYCIN,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O,QTQAWLPCGQOSGP-KSRBKZBZSA-N,have,QTQAWLPCGQOSGP-UHFFFAOYSA-N,,"HSP90AB1, HSP90AA1, HSP90B1","['HSP90AB1', 'HSP90AA1', 'HSP90B1']","['P08238', 'P07900', 'P14625']","['3326', '3320', '7184']",['P41148'],['HSP90B1'],['404019']
GEMCITABINE,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,SDUQYLNIPVEERB-QPPQHZFASA-N,have,SDUQYLNIPVEERB-UHFFFAOYSA-N,"6241, 50484","RRM1, RRM2, RRM2B","['RRM1', 'TYMS', 'CMPK1']","['P23921', 'P04818', 'P30085']","['6240', '7298', '51727']",,,
L778123,N#Cc1ccc(Cn2cncc2CN2CCN(c3cccc(Cl)c3)C(=O)C2)cc1,JNUGFGAVPBYSHF-UHFFFAOYSA-N,have,,,"FNTA, FNTB, PGGT1B","['FNTA', 'FNTB', 'PGGT1B']","['P49354', 'P49356', 'P53609']","['2339', '100529261', '2342', '5229']",,,
LAPATINIB,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,BCFGMOOMADDAQU-UHFFFAOYSA-N,have,,,"EGFR, ERBB2","['EGFR', 'ERBB2', 'CYP3A4', 'CYP2C8', 'ABCB1', 'TAP1']","['P00533', 'P04626', 'P08684', 'P10632', 'P08183', 'Q03518']","['1956', '2064', '1576', '1558', '5243', '6890']","['P00533', 'P04626', 'Q15303', 'P00533', 'P68370']","['EGFR', 'ERBB2', 'ERBB4', 'Tuba1a']","['1956', '2064', '2066', '64158']"
METFORMIN,CN(C)C(=N)N=C(N)N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,have,,"5562, 5563, 5565, 5571, 51422, 53632","PRKAA1,PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3","['PRKAB1', 'SLC22A2']","['Q9Y478', 'O15244']","['5564', '6582']",,,
METHOTREXATE,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,FBOZXECLQNJBKD-ZDUSSCGKSA-N,have,FBOZXECLQNJBKD-UHFFFAOYSA-N,,DHFR,"['DHFR', 'PGD', 'ATIC', 'ABCC3', 'ABCC4', 'ABCC1', 'SLC22A6', 'ABCC10', 'SLC22A8', 'ABCC2', 'SLC46A1']","['P00374', 'P52209', 'P31939', 'O15438', 'O15439', 'P33527', 'Q4U2R8', 'Q5T3U5', 'Q8TCC7', 'Q92887', 'Q96NT5']","['1719', '5226', '471', '8714', '10257', '4363', '9356', '89845', '9376', '1244', '113235']","['P16184', 'P00381', 'Q07422', 'P00378', 'P00376', 'P00375', 'P00374', 'B0BL08', 'Q920D2', 'Q81R22', 'P00380', 'P9WNX1', 'P0ABQ4', 'P07382', 'Q01782', 'P0A017']","['folA', 'DHFR', 'DHFR', 'Dhfr', 'DHFR', 'dfrA17', 'Dhfr', 'dfrA', 'folA', 'folA', 'folA', 'LmjF06.0860', 'PTR1', 'folA']","['508809', '13361', '1719', '24312', '13177929', '887777', '944790', '5649109', '5651987']"
MITOMYCINE,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,NWIBSHFKIJFRCO-WUDYKRTCSA-N,have,NWIBSHFKIJFRCO-UHFFFAOYSA-N,,,,,,,,
MK-2206,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,ULDXWLCXEDXJGE-UHFFFAOYSA-N,no,,,"AKT1, AKT2, AKT3",,,,"['P31749', 'P31751', 'Q9Y243']","['AKT1', 'AKT2', 'AKT3']","['207', '208', '10000']"
MK-4541,CN1C(=O)C=CC2(C)C3CCC4(C)C(NC(=O)OCC(F)(F)F)CCC4C3CCC12,OGBFNZPDLOPGEO-UHFFFAOYSA-N,no,,"6715, 6716, 79644","SRD5A1,SRD5A2, SRD5A3",,,,,,
MK-4827,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12,PCHKPVIQAHNQLW-CQSZACIVSA-N,have,PCHKPVIQAHNQLW-UHFFFAOYSA-N,,"PARP1, PARP2","['PARP1', 'PARP2']","['P09874', 'Q9UGN5']","['142', '10038']","['Q9UGN5', 'P09874']","['PARP2', 'PARP1']","['10038', '142']"
MK-5108,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1,LCVIRAZGMYMNNT-VVONHTQRSA-N,no,LCVIRAZGMYMNNT-UHFFFAOYSA-N,,AURKA,,,,"['O14965', 'Q96GD4', 'Q9UQB9', 'O14965', 'P00519', 'P42684', 'O14965', 'P11274', 'P62993', 'Q9Y616', 'O60674', 'Q13470']","['AURKA', 'AURKB', 'AURKC', 'ABL1', 'ABL2', 'BCR', 'GRB2', 'IRAK3', 'JAK2', 'TNK1']","['6790', '9212', '6795', '25', '27', '613', '2885', '11213', '3717', '8711']"
MK-8669,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,BUROJSBIWGDYCN-GAUTUEMISA-N,have,BUROJSBIWGDYCN-UHFFFAOYSA-N,,MTOR,"['MTOR', 'CYP3A4']","['P42345', 'P08684']","['2475', '1576']",,,
MK-8776,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1,GMIZZEXBPRLVIV-SECBINFHSA-N,no,GMIZZEXBPRLVIV-UHFFFAOYSA-N,,CHEK1,,,,['O14757'],['CHEK1'],['1111']
MRK-003,O=S1(=O)NC2(CN1CC(F)(F)F)C1CCC2Cc2cc(C=CCN3CCC(C(F)(F)F)CC3)ccc2C1,NKHUILHBYOOZDF-NCOIWELASA-N,no,NKHUILHBYOOZDF-UHFFFAOYSA-N,"5664, 23385, 83464, 5663, 55851, 51107","PSEN2, NCSTN, APH1B, PSEN1, PSENEN, APH1A",,,,,,
OXALIPLATIN,NC1CCCCC1N.O=C(O)C(=O)O.[Pt+2],ZROHGHOFXNOHSO-BNTLRKBRSA-L,have,ZROHGHOFXNOHSO-UHFFFAOYSA-N,,,,,,,,
PACLITAXEL,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,RCINICONZNJXQF-MZXODVADSA-N,have,RCINICONZNJXQF-UHFFFAOYSA-N,,,"['TUBB1', 'BCL2', 'NR1I2', 'MAP4', 'MAP2', 'MAPT', 'CYP3A4', 'CYP19A1', 'CYP1B1', 'ABCB11', 'ABCB1', 'ABCC1', 'ABCC10']","['Q9H4B7', 'P10415', 'O75469', 'P27816', 'P11137', 'P10636', 'P08684', 'P11511', 'Q16678', 'O95342', 'P08183', 'P33527', 'Q5T3U5']","['81027', '596', '8856', '4134', '4133', '4137', '1576', '1588', '1545', '8647', '5243', '4363', '89845']",['Q13509'],['TUBB3'],['10381']
PD325901,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,SUDAHWBOROXANE-SECBINFHSA-N,have,SUDAHWBOROXANE-UHFFFAOYSA-N,,MAP2K1,['MAP2K1'],['Q02750'],['5604'],"['Q02750', 'P29678', 'P36507', 'P63085']","['MAP2K1', 'MAP2K1', 'MAP2K2', 'Mapk1']","['5604', '100009316', '5605', '26413']"
SN-38,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,FJHBVJOVLFPMQE-QFIPXVFZSA-N,have,FJHBVJOVLFPMQE-UHFFFAOYSA-N,,TOP1,"['TOP1', 'CYP3A4']","['P11387', 'P08684']","['7150', '1576']",,,
SORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,MLDQJTXFUGDVEO-UHFFFAOYSA-N,have,MLDQJTXFUGDVEO-LRFGSCOBSA-N,,,"['BRAF', 'RAF1', 'FLT4', 'KDR', 'FLT3', 'PDGFRB', 'KIT', 'FGFR1', 'RET', 'FLT1', 'CYP2C9', 'CYP3A4', 'CYP2B6', 'CYP2C8', 'CYP2C19', 'CYP2D6', 'UGT1A9', 'UGT1A1', 'ABCG2', 'ABCC4', 'ABCC2', 'ABCB1', 'SLCO1B1']","['P15056', 'P04049', 'P35916', 'P35968', 'P36888', 'P09619', 'P10721', 'P11362', 'P07949', 'P17948', 'P11712', 'P08684', 'P20813', 'P10632', 'P33261', 'P10635', 'O60656', 'P22309', 'Q9UNQ0', 'O15439', 'Q92887', 'P08183', 'Q9Y6L6']","['673', '5894', '2324', '3791', '2322', '5159', '3815', '2260', '5979', '2321', '1559', '1576', '1555', '1558', '1557', '1565', '54600', '54658', '9429', '10257', '1244', '5243', '10599']","['P04049', 'P07333', 'P09619', 'P35916', 'P35968', 'P07949', 'P36888', 'P17948', 'P34913', 'Q16832', 'Q8T9Z7', 'P35918', 'P35917', 'P05622', 'P11511', 'P10721', 'P16234', 'P36888', 'P07949', 'Q9NYL2', 'Q8TD08', 'O43519', 'P10721', 'Q8NE63', 'Q56UN5', 'Q08345', 'P62344', 'P10398', 'P51813', 'P41595']","['RAF1', 'CSF1R', 'PDGFRB', 'FLT4', 'KDR', 'RET', 'FLT3', 'FLT1', 'EPHX2', 'DDR2', 'PNP', 'Kdr', 'Flt4', 'Pdgfrb', 'CYP19A1', 'KIT', 'PDGFRA', 'MAP3K20', 'MAPK15', 'RET', 'HIPK4', 'MAP3K19', 'DDR1', 'CPK1', 'ARAF', 'BMX', 'HTR2B']","['5894', '1436', '5159', '2324', '3791', '5979', '2322', '2321', '2053', '4921', '14257', '18596', '1588', '3815', '5156', '51776', '225689', '147746', '80122', '780', '812762', '369', '660', '3357']"
SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,WINHZLLDWRZWRT-ATVHPVEESA-N,have,WINHZLLDWRZWRT-UHFFFAOYSA-N,,,"['PDGFRB', 'FLT1', 'KIT', 'KDR', 'FLT4', 'FLT3', 'CSF1R', 'PDGFRA', 'CYP3A4', 'ABCC4', 'ABCB1', 'ABCC2', 'ABCG2']","['P09619', 'P17948', 'P10721', 'P35968', 'P35916', 'P36888', 'P07333', 'P16234', 'P08684', 'O15439', 'P08183', 'Q92887', 'Q9UNQ0']","['5159', '2321', '3815', '3791', '2324', '2322', '1436', '5156', '1576', '10257', '5243', '1244', '9429']","['P09619', 'P35968', 'P07333', 'P07949', 'P36888', 'P10721', 'P35916', 'O96017', 'P06239', 'P17948', 'Q5S007', 'P10721', 'P30530', 'O43283', 'P23458', 'P26927', 'P9WI81', 'Q9BYT3', 'Q15349', 'P07949', 'O43519', 'Q13188', 'Q13131', 'P07949', 'P81123', 'Q06418', 'Q9HAZ1', 'P49760', 'Q9BVS4', 'Q5S007', 'P07949', 'P36888', 'Q9UEE5', 'O75385', 'P78356', 'P51617', 'Q12866', 'Q8N4C8', 'Q9H1R3', 'Q56UN5', 'Q9NSY1', 'P36888', 'Q9Y4K4', 'Q92918', 'P10721', 'P51451', 'O95819', 'P15735', 'P36888', 'O60285', 'Q9UKE5', 'Q9H2X6', 'P10721', 'P16234', 'P49116', 'P00519', 'P49759', 'P36888', 'P10721', 'P00519', 'Q9BRS2', 'P00519', 'Q8IYT8', 'P54646', 'P04629', 'Q16816', 'Q86YV6', 'Q08881', 'O75676', 'Q9H2G2', 'Q14289', 'P36888', 'P10721', 'Q15349', 'Q13043', 'P11799', 'P48729', 'P80370', 'P48730', 'O43318', 'Q32MK0', 'P46019', 'P35968', 'P06239', 'P36888', 'Q13131', 'P07333', 'O95819', 'Q13188', 'P48730', 'O43519', 'P35916', 'O96017', 'Q9Y4K4', 'Q13557', 'P07948', 'Q8N4C8', 'P51451', 'Q08881', 'Q9H2G2', 'Q13555', 'P15735', 'P16591', 'P30530', 'P50613', 'P29678', 'P09619', 'Q04912', 'P36507', 'O75676', 'P10721', 'Q15750', 'Q6P5Z2', 'Q02750', 'P07949']","['PDGFRB', 'KDR', 'CSF1R', 'RET', 'FLT3', 'KIT', 'FLT4', 'CHEK2', 'LCK', 'FLT1', 'LRRK2', 'AXL', 'MAP3K13', 'JAK1', 'MST1', 'pknB', 'STK33', 'RPS6KA2', 'RET', 'STK3', 'PRKAA1', 'CSNK1D', 'TYRO3', 'CLK4', 'CLK2', 'RIOK2', 'STK17A', 'ULK1', 'PIP4K2B', 'IRAK1', 'MERTK', 'MINK1', 'MYLK2', 'MAP3K19', 'BMP2K', 'MAP4K5', 'MAP4K1', 'BLK', 'MAP4K4', 'PHKG2', 'NUAK1', 'TNIK', 'HIPK2', 'PDGFRA', 'NR2C2', 'ABL1', 'CLK1', 'RIOK1', 'ULK2', 'PRKAA2', 'NTRK1', 'PHKG1', 'MYLK4', 'ITK', 'RPS6KA4', 'SLK', 'PTK2B', 'STK4', 'Mylk', 'CSNK1A1', 'DLK1', 'CSNK1D', 'MAP3K7', 'MYLK3', 'PHKA2', 'CAMK2D', 'LYN', 'CAMK2G', 'FER', 'CDK7', 'MAP2K1', 'MST1R', 'MAP2K2', 'TAB1', 'PKN3', 'MAP2K1']","['5159', '3791', '1436', '5979', '2322', '3815', '2324', '11200', '3932', '2321', '120892', '558', '9175', '3716', '4485', '887072', '65975', '6196', '6788', '5562', '7301', '57396', '1196', '55781', '9263', '8408', '8396', '3654', '10461', '50488', '85366', '80122', '55589', '11183', '11184', '640', '9448', '5261', '9891', '23043', '28996', '5156', '7182', '25', '1195', '83732', '9706', '5563', '4914', '5260', '340156', '3702', '8986', '9748', '2185', '6789', '1452', '8788', '1453', '6885', '91807', '5256', '817', '4067', '818', '2241', '1022', '100009316', '4486', '5605', '10454', '29941', '5604']"
TEMOZOLOMIDE,Cn1nnc2c(C(N)=O)ncn2c1=O,BPEGJWRSRHCHSN-UHFFFAOYSA-N,have,,,,['CYP3A4'],['P08684'],['1576'],,,
TOPOTECAN,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,UCFGDBYHRUNTLO-QHCPKHFHSA-N,have,UCFGDBYHRUNTLO-UHFFFAOYSA-N,,TOP1,"['TOP1', 'TOP1MT', 'CYP3A4', 'SLC47A1']","['P11387', 'Q969P6', 'P08684', 'Q96FL8']","['7150', '116447', '1576', '55244']",['Q16665'],['HIF1A'],['3091']
VINBLASTINE,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,JXLYSJRDGCGARV-CFWMRBGOSA-N,have,JXLYSJRDGCGARV-UHFFFAOYSA-N,,,"['TUBA1A', 'TUBB', 'TUBD1', 'TUBG1', 'TUBE1', 'JUN', 'CYP3A4', 'CYP2D6', 'ABCB1', 'ABCC1', 'ABCC2', 'ABCC6', 'ABCB11', 'SLCO1B1']","['Q71U36', 'P07437', 'Q9UJT1', 'P23258', 'Q9UJT0', 'P05412', 'P08684', 'P10635', 'P08183', 'P33527', 'Q92887', 'O95255', 'O95342', 'Q9Y6L6']","['7846', '203068', '51174', '7283', '51175', '3725', '1576', '1565', '5243', '4363', '1244', '368', '8647', '10599']",,,
VINORELBINE,CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2,GBABOYUKABKIAF-IELIFDKJSA-N,have,GBABOYUKABKIAF-UHFFFAOYSA-N,,,"['TUBB', 'CYP2D6']","['P07437', 'P10635']","['203068', '1565']",,,
ZOLINZA,O=C(CCCCCCC(=O)Nc1ccccc1)NO,WAEXFXRVDQXREF-UHFFFAOYSA-N,have,,,"HDAC1, HDAC2, HDAC3, HDAC6, HDAC8","['HDAC1', 'HDAC2', 'HDAC3', 'HDAC6', 'HDAC8']","['Q13547', 'Q92769', 'O15379', 'Q9UBN7', 'Q9BY41']","['3065', '3066', '8841', '10013', '55869']","['Q13547', 'Q94F81', 'Q9ZTP8', 'Q9UBN7', 'O15379', 'Q9XYC7', 'Q7K6A1']","['HDAC1', 'hda106', 'hd1b', 'HDAC6', 'HDAC3', 'HDAC1', 'PF3D7_0925700']","['3065', '541932', '541681', '10013', '8841', '813532', '813532']"