Name,SMILE,ECFP_6
5-FU,O=c1[nH]cc(F)c(=O)[nH]1,00000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000001001001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000000000000000010000000000000000000000000001000000000000000
ABT-888,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,00010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000100000000000000000000100000000100000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001001000000000000000000000000000000000000010010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010100000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000001000000000000000001001000000000000000000000000000100000000000000000000000001000000000001000000010100000100000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000000000100000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000010000000000000000100100000000000000000000100001000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000101000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000
AZD1775,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,00000000000000100000000000000000000000100000000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000011000000100100010000000000100000000000000000000000000100000000000000000100000000000000000000000000000000000100001000000000000000000000000000000000000000000000010000000000010000000010000100000000000000100000000000000000000000000000000000000000000000000100000000000000100000000000000000100000000100010000000000000000000000100000000000001001000000000000000000000000100010100000000000000000000000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000011000001001000010000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000000000000000010000100000000100001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000000000000001000000000000000000000010000000100000000000000000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000000000000000000000000000010000000000000000000000000000010000000000000000000001000000000000001000000001000000000000010000000000000000000000001000000000000000000000000000000000000000000000010000000000010000000000000001000000000000000000000010001100000000000000010010000000100000000000100000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000011000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000001000000000000000001000000010000000000000000000000000010000000000000000000000000100000000000000000000000000000000010000000000000000000001000000000000000000000000000000000000000000000000000000000
BEZ-235,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,00000000000100000000000000000000000010000000010000000010001000000000000000000000000000000100000000000000000000000010000100000000000000000000000000000000000000000000000010000000100000000000000000000000000010000000000000000000000000000100000000000000000000000000000000000000000000000000000001000000000000000000000000100000000000100000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000000000010000000001000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000001000010000000000100000000001100010000100001000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000100010000000000000100001000000000000000000000000000000100000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000000000000000000000100000000000000010000000001000001000000000000000000000000000000000000000000000000000000000000000010000000000000100000000001000000000100000000000000000001100000001100000000000000000000000000000000000000000100000100000000000000100000000000000000000010000000000000000100000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001001000000001000000000000010001000000000001000000000000000000001000000100000000000000010000000000010000000000000000000000000001000000100000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000100000000000000000000000
BORTEZOMIB,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,01000000000000000000000000000000100000000000000000000000000000000000000000000001100000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000001000000000000000000000000000000000000000000000000000100000010000000000000000000000000000000000001000000000001000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000000000100000000000000000000000000000000000000000010000000000000000000010000000000000000000000000000100000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000010000000000000000000000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000010010000000000000100000000000000000000010000000000000010000000000000000000000000010000000000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000000000000000000000010100001000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000100000000000000001000000000000100000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000100000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000010000001000000000000001000000000000000000000000000010001001000000000000000000000010000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000
CARBOPLATIN,N.N.O=C(O)C1(C(=O)O)CCC1.[Pt],00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000
CYCLOPHOSPHAMIDE,O=P1(N(CCCl)CCCl)NCCCO1,00000000000000000000000000000000000000000000000010000000000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000010000000000000000000000000000000000000000000000000100000000000000000000000010000000000000000000100000001000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000100000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000
DASATINIB,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,00000000000000000000000000000000000000000000000000000000100000000000000000100100100000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010010001000000000000000000100100000000000100000000000000010000000000000000000000000000000000000100000000000010000100000000010000000000000000000000000100000000000001000000000000000000010000000100000000001000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000000000000000010000000000000000000100000000000100000000000000000000000000000000000000000000010000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000100000000001000000000000000000000000001000010000000000000110000010000000000000000000000100000000000000000000000000000000000000100100000000000001100000000000010000000000000000000000001000000000000000000000000000000100000000000000000000000100000000001000000000000000000000000000000000000000000010001000000100000000000000010000000000000000000000000000000000000000000010000000000001000000000000001010010000000000000000000000100000000000000000000000000100000000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000001000000100000000000000000000000010000001010000000000010000000000001000000000000000000000000000000000000001000000000000000101000000000000000000000000000000000001000000010000000000000000000000000000100000000000010000000000000000000000000000000000010001000000000000000000000000000000000000000000000000
DEXAMETHASONE,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,00000100100000000000000000000000000000000000000000000000000001000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000010000000000000010000000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000001000000010001000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000001000000000001000000000000000000000000000000000000000110000000000000000000001000000000001001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000100000000000000001000000000000000100000000000000000000000000000000000000000000001000000010000000000000000000000000000000000000000000000010000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000001001000000010001000000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000010000000000000000000000000000000000001000000000000000000000010000000000000000000001000000000010000000000000000000000001000000010000000000100000000000000000000000000000000000000000000001000000000000001000000100000000000000000000000100001000000000000000000000
DINACICLIB,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12,00000000000000000000000000000000000000110001000000000000000000000100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000010000000000000010000000000000000000000000000000000000010000000000000000000100000000000000000000000000000000000100000000000010000001000000010000100000000000000000001000000001000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000000000000000100010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000100000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000000000000000100000000000000000000000000000000001100000000000000010000100001000000000000011000000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000100000000100000000000000100010000000000000000000000000000000000000000000000001000000000000000100000000100000000000000000000010000001000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000011000000000000000000001000000000000000000000000000000000000000010000000000000001000000000100000000000000000000000000000000000010000000000000000000000000000000000010000000000100000000000000000000000100000100000000000100000000000010000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000001000000000000001000000000000000000001100000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000010000000001000000010000000000000000000000000000000000000000000011000100000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000010000000000000001000000000000010000010000000000000010000000000000000000000000000
DOXORUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,00000000000000000000000000000010011000000000000000000000000000000000000000000000100000000000000000000000000000000000100001100000000000000001000000010000000000000000000000000000000000000000000000000000001000000000000000000010000000000000000000000000010000000000001000000000000000000000010000000000001000000000000000100000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000110000000001000000000000000010000000000000000000000000001000000000000000000000000000000000000100010000000000000000000000000000000000000000000001000000000000100000100000000000000000000001000000010000000100000000000000000000000000100000000000000000000000000000000010000000000000000100000000000000000000000000000000010000000000000000000000000000000001100000000000000000000000000000000100000010000000000000010000000000000000000000000000100000000000001000000000000000000000000000000001000000000010000000000000000000000000010000000100000000000000000001000000000000000001001000000000100000000000000100100000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000100000010000010000000000001000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000010000000010100000000000000000000010000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000010000000001000000000000000100000000000000000001000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000001001000000000000000000000000000000000000001000000000000000000000000010000000000000000100000000000010000000000000000100000000001100001000000000000000000000000000000100000010001000000000000000000000000000000000000000000000000100000000000000000100000000100000000000000000000000000000000001000000001000000
ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,00000000000001000000000000000000000000000000010000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000010010100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001101000000000000000000100000001000010000000000000000000000000000000000000010000000000000000000000000000000010000001010000100000001000000000000000000000000000000000000001000000000000000000000000000000000100000000000010010100000000000000000010010000000000000000000000000000000000000000000000010000000000100000000000000000000000000000010000000000000000000000000000000101000000000000000001000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000010000100000000000101010000000100000000000000000000000000000000001000000000100000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010000000000010000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000
